registered_at,memo_date,ticker,verdict,margin_of_safety,value_conservative,market_cap,implied_growth,exp_rev_growth_mid,exp_gm_low,exp_gm_high,exp_buybacks_continue,exp_nd_ebitda_max,exp_fcf_ni_min,thesis_driver
2026-07-20T20:20:40+00:00,2026-07-20,IT,pass,0.0979,10463786667.0,9439547198.0,-0.0682,0.0965,0.6136,0.7618,True,1.53,0.8,"Price ($9.4B) sits BELOW the zero-growth EPV ($10.5B): the market is paying nothing for growth in a business that compounded revenue at 11.6%/yr for a decade. If the moat merely defends, the price is "
2026-07-20T20:20:40+00:00,2026-07-20,G,pass,0.0912,5715093333.0,5193679363.0,-0.0666,0.0649,0.324,0.3969,True,1.34,0.8,"Price ($5.2B) sits BELOW the zero-growth EPV ($5.7B): the market is paying nothing for growth in a business that compounded revenue at 7.5%/yr for a decade. If the moat merely defends, the price is co"
2026-07-20T20:20:40+00:00,2026-07-20,VVV,pass,0.1784,6139666667.0,5044051827.0,-0.089,0.1866,0.3356,0.4344,True,2.57,0.8,"Price ($5.0B) sits BELOW the zero-growth EPV ($6.1B): the market is paying nothing for growth in a business that compounded revenue at -1.4%/yr for a decade. If the moat merely defends, the price is c"
2026-07-20T20:20:40+00:00,2026-07-20,GAP,pass,0.0835,7810000000.0,7158181165.0,-0.0647,0.0217,0.3602,0.4557,False,1.0,0.8,"Price ($7.2B) sits BELOW the zero-growth EPV ($7.8B): the market is paying nothing for growth in a business that compounded revenue at -0.3%/yr for a decade. If the moat merely defends, the price is c"
2026-08-11T22:54:12+00:00,2026-08-11,LEN,buy candidate,0.3647,33198626667.0,21090370417.0,-0.1,0.0874,,,True,1.22,0.8,"Price ($21.1B) sits BELOW the zero-growth EPV ($33.2B): the market is paying nothing for growth in a business that compounded revenue at 13.7%/yr for a decade. If the moat merely defends, the price is"
2026-08-11T22:54:12+00:00,2026-08-11,ACGL,watch (needs price),0.2267,43356666667.0,33529174650.0,-0.1,0.1856,,,True,1.0,0.8,"Price ($33.5B) sits BELOW the zero-growth EPV ($43.4B): the market is paying nothing for growth in a business that compounded revenue at 17.6%/yr for a decade. If the moat merely defends, the price is"
2026-08-11T22:54:12+00:00,2026-08-11,BBWI,watch (needs price),0.4114,6464921569.0,3805486841.0,-0.1,0.0253,0.3683,0.5064,True,2.63,0.8,"Price ($3.8B) sits BELOW the zero-growth EPV ($8.0B): the market is paying nothing for growth in a business that compounded revenue at -5.0%/yr for a decade. If the moat merely defends, the price is c"
2026-08-11T22:54:12+00:00,2026-08-11,KBH,watch (needs price),0.3661,5583096667.0,3538848972.0,-0.1,0.0831,,,False,,0.8,"Price ($3.5B) sits BELOW the zero-growth EPV ($5.6B): the market is paying nothing for growth in a business that compounded revenue at 7.5%/yr for a decade. If the moat merely defends, the price is co"
2026-08-11T22:54:12+00:00,2026-08-11,MTG,watch (needs price),0.1775,7569023333.0,6225538972.0,-0.0887,0.0024,,,True,1.0,0.8,"Price ($6.2B) sits BELOW the zero-growth EPV ($7.6B): the market is paying nothing for growth in a business that compounded revenue at 1.5%/yr for a decade. If the moat merely defends, the price is co"
2026-08-11T22:54:12+00:00,2026-08-11,VVV,watch (needs price),0.3141,6139666667.0,4211241387.0,-0.1,0.1866,0.3356,0.4344,True,2.57,0.8,"Price ($4.2B) sits BELOW the zero-growth EPV ($6.1B): the market is paying nothing for growth in a business that compounded revenue at -1.4%/yr for a decade. If the moat merely defends, the price is c"
2026-08-11T22:54:12+00:00,2026-08-11,ESNT,pass,0.1385,7054270000.0,6077415367.0,-0.0785,0.0571,,,True,1.0,0.8,"Price ($6.1B) sits BELOW the zero-growth EPV ($7.1B): the market is paying nothing for growth in a business that compounded revenue at 13.6%/yr for a decade. If the moat merely defends, the price is c"
2026-08-11T22:54:12+00:00,2026-08-11,LULU,pass,0.1345,16479963333.0,14263507709.0,-0.0774,0.2033,0.5017,0.6303,True,1.0,0.8,"Price ($14.3B) sits BELOW the zero-growth EPV ($16.5B): the market is paying nothing for growth in a business that compounded revenue at 18.3%/yr for a decade. If the moat merely defends, the price is"
2026-08-11T22:54:12+00:00,2026-08-11,PPC,pass,0.1254,7312358784.0,6395595100.0,-0.1,0.0887,0.0709,0.1841,False,1.69,0.8,"Price ($6.4B) sits BELOW the zero-growth EPV ($8.3B): the market is paying nothing for growth in a business that compounded revenue at 7.8%/yr for a decade. If the moat merely defends, the price is co"
2026-08-11T22:54:12+00:00,2026-08-11,EOG,pass,0.2148,95800000000.0,75217480637.0,-0.099,0.1546,,,True,1.0,0.8,"Price ($75.2B) sits BELOW the zero-growth EPV ($95.8B): the market is paying nothing for growth in a business that compounded revenue at 10.0%/yr for a decade. If the moat merely defends, the price is"
2026-08-11T22:54:12+00:00,2026-08-11,HRB,pass,0.0701,6361640000.0,5915898629.0,-0.0615,0.0734,0.3818,0.5088,False,1.02,0.8,"Price ($5.9B) sits BELOW the zero-growth EPV ($6.4B): the market is paying nothing for growth in a business that compounded revenue at 2.0%/yr for a decade. If the moat merely defends, the price is co"
2026-08-11T22:54:12+00:00,2026-08-11,EEFT,pass,0.055,2789303922.0,2635831385.0,-0.0887,0.1132,,,False,1.97,0.8,"Price ($2.6B) sits BELOW the zero-growth EPV ($3.2B): the market is paying nothing for growth in a business that compounded revenue at 9.1%/yr for a decade. If the moat merely defends, the price is co"
2026-08-11T22:54:12+00:00,2026-08-11,HPQ,pass,0.1047,29692764706.0,26585174319.0,-0.0742,-0.0048,0.1787,0.2334,True,1.95,0.8,"Price ($26.6B) sits BELOW the zero-growth EPV ($30.3B): the market is paying nothing for growth in a business that compounded revenue at 0.7%/yr for a decade. If the moat merely defends, the price is "
2026-08-11T22:54:12+00:00,2026-08-11,GAP,pass,0.0339,7810000000.0,7545158106.0,-0.053,0.0217,0.3602,0.4557,False,1.0,0.8,"Price ($7.5B) sits BELOW the zero-growth EPV ($7.8B): the market is paying nothing for growth in a business that compounded revenue at -0.3%/yr for a decade. If the moat merely defends, the price is c"
2026-08-11T22:54:12+00:00,2026-08-11,DHI,pass,0.0332,43624333333.0,42176152173.0,-0.0528,0.1102,0.1732,0.3007,True,1.0,0.8,"Price ($42.2B) sits BELOW the zero-growth EPV ($43.6B): the market is paying nothing for growth in a business that compounded revenue at 12.2%/yr for a decade. If the moat merely defends, the price is"
